ParentLocationCode,ParentLocation,SpatialDimValueCode,Location,Period,Dim1,FactValueNumeric,FactValueNumericLow,FactValueNumericHigh,Value_x,Value_y
EUR,Europe,LTU,Lithuania,2019,Total,10.37,9.29,11.22,10.37 [9.29-11.22],142.9
EUR,Europe,FRA,France,2019,Total,10.46,10.27,10.65,10.46 [10.27-10.65],103.4
EUR,Europe,DEU,Germany,2019,Total,10.73,10.56,10.93,10.73 [10.56-10.93],110.0
EUR,Europe,BEL,Belgium,2019,Total,11.26,10.87,11.62,11.26 [10.87-11.62],117.5
EUR,Europe,AUT,Austria,2019,Total,11.51,11.2,11.88,11.51 [11.20-11.88],124.9
EUR,Europe,LVA,Latvia,2019,Total,12.02,10.69,13.42,12.02 [10.69-13.42],137.6
EUR,Europe,MDA,Republic of Moldova,2019,Total,12.37,9.11,15.99,12.37 [9.11-15.99],143.2
EUR,Europe,MLT,Malta,2019,Total,12.93,11.84,14.32,12.93 [11.84-14.32],97.6
EUR,Europe,ROU,Romania,2019,Total,13.3,12.55,14.1,13.30 [12.55-14.10],145.5
EUR,Europe,UKR,Ukraine,2019,Total,13.51,10.05,18.45,13.51 [10.05-18.45],87.1
EUR,Europe,SVN,Slovenia,2019,Total,14.08,13.36,14.9,14.08 [13.36-14.90],133.3
EUR,Europe,ITA,Italy,2019,Total,14.22,13.99,14.44,14.22 [13.99-14.44],96.8
EUR,Europe,HUN,Hungary,2019,Total,14.24,13.4,15.11,14.24 [13.40-15.11],139.9
EUR,Europe,CZE,Czechia,2019,Total,14.34,13.96,14.79,14.34 [13.96-14.79],130.0
EUR,Europe,CYP,Cyprus,2019,Total,14.52,12.86,16.16,14.52 [12.86-16.16],99.9
EUR,Europe,GRC,Greece,2019,Total,14.62,13.51,15.76,14.62 [13.51-15.76],95.3
EUR,Europe,HRV,Croatia,2019,Total,15.29,14.16,16.51,15.29 [14.16-16.51],101.2
EUR,Europe,BLR,Belarus,2019,Total,15.48,13.25,17.71,15.48 [13.25-17.71],117.9
EUR,Europe,SVK,Slovakia,2019,Total,15.89,15.15,16.69,15.89 [15.15-16.69],143.3
EUR,Europe,ALB,Albania,2019,Total,16.28,14.73,18.21,16.28 [14.73-18.21],152.0
EUR,Europe,BGR,Bulgaria,2019,Total,17.29,16.54,18.21,17.29 [16.54-18.21],118.2
EUR,Europe,POL,Poland,2019,Total,18.83,18.4,19.2,18.83 [18.40-19.20],145.0
EUR,Europe,GEO,Georgia,2019,Total,19.06,14.48,23.86,19.06 [14.48-23.86],144.8
EUR,Europe,MNE,Montenegro,2019,Total,19.3,17.34,22.2,19.30 [17.34-22.20],
EUR,Europe,ISR,Israel,2019,Total,19.47,18.17,20.74,19.47 [18.17-20.74],123.9
EUR,Europe,SRB,Serbia,2019,Total,21.74,20.2,23.14,21.74 [20.20-23.14],116.7
EUR,Europe,AZE,Azerbaijan,2019,Total,24.64,13.74,37.54,24.64 [13.74-37.54],95.4
EUR,Europe,MKD,North Macedonia,2019,Total,25.17,23.56,27.13,25.17 [23.56-27.13],133.5
EUR,Europe,BIH,Bosnia and Herzegovina,2019,Total,26.19,24.23,28.67,26.19 [24.23-28.67],110.7
EUR,Europe,TKM,Turkmenistan,2019,Total,26.41,17.35,38.93,26.41 [17.35-38.93],
EUR,Europe,KAZ,Kazakhstan,2019,Total,26.5,19.01,34.73,26.50 [19.01-34.73],113.4
EUR,Europe,ARM,Armenia,2019,Total,34.13,24.44,47.1,34.13 [24.44-47.10],195.6
EUR,Europe,KGZ,Kyrgyzstan,2019,Total,37.58,26.16,52.31,37.58 [26.16-52.31],150.0
EUR,Europe,UZB,Uzbekistan,2019,Total,40.98,29.83,57.12,40.98 [29.83-57.12],204.6
EUR,Europe,FIN,Finland,2019,Total,5.47,5.16,5.76,5.47 [5.16-5.76],106.0
EUR,Europe,ISL,Iceland,2019,Total,5.79,5.11,6.46,5.79 [5.11-6.46],
EUR,Europe,SWE,Sweden,2019,Total,5.96,5.7,6.22,5.96 [5.70-6.22],108.2
EUR,Europe,TJK,Tajikistan,2019,Total,53.65,38.18,76.75,53.65 [38.18-76.75],252.3
EUR,Europe,NOR,Norway,2019,Total,6.3,5.95,6.63,6.30 [5.95-6.63],90.2
EUR,Europe,EST,Estonia,2019,Total,6.35,5.83,6.94,6.35 [5.83-6.94],158.6
AMR,Americas,CAN,Canada,2019,Total,6.39,6.21,6.59,6.39 [6.21-6.59],
EUR,Europe,PRT,Portugal,2019,Total,7.34,7.1,7.57,7.34 [7.10-7.57],100.8
EUR,Europe,IRL,Ireland,2019,Total,8.2,7.66,8.65,8.20 [7.66-8.65],164.2
EUR,Europe,AND,Andorra,2019,Total,8.52,7.49,10.05,8.52 [7.49-10.05],
EUR,Europe,RUS,Russian Federation,2019,Total,8.88,7.31,10.85,8.88 [7.31-10.85],
EUR,Europe,LUX,Luxembourg,2019,Total,8.89,8.4,9.4,8.89 [8.40-9.40],97.6
EUR,Europe,CHE,Switzerland,2019,Total,8.97,8.73,9.23,8.97 [8.73-9.23],122.4
EUR,Europe,MCO,Monaco,2019,Total,9.21,8.24,10.27,9.21 [8.24-10.27],
EUR,Europe,ESP,Spain,2019,Total,9.34,9.14,9.56,9.34 [9.14-9.56],99.6
EUR,Europe,DNK,Denmark,2019,Total,9.66,8.77,10.69,9.66 [8.77-10.69],112.9
EUR,Europe,SMR,San Marino,2019,Total,9.85,8.21,11.53,9.85 [8.21-11.53],
